Ch1 Amplitude,Ch2 Amplitude,Cluster
-37.20774,8756.037,4
-23.8046074,10497.0371,4
-23.6817265,8355.426,4
-9.872081,10213.6465,4
-9.141685,10217.1445,4
-6.95434,10435.29,4
-6.01003456,10241.0166,4
-5.57919025,10522.8965,4
-5.1165843,10354.7637,4
-5.02159643,10307.8584,4
-4.923168,10466.0117,4
-4.51576138,10683.4121,4
-1.861768,10043.9023,4
-1.15022516,10242.2227,4
0.653948963,10234.6133,4
2.24048,9967.669,4
3.28074861,10178.29,4
5.153413,10224.9756,4
6.39256668,10027.9893,4
6.45940542,8750.657,4
6.961173,10376.0527,4
8.400006,10283.83,4
8.4184,10332.4082,4
10.18688,10504.9785,4
10.7632761,10490.1729,4
11.2242451,9514.934,4
11.2877522,10289.627,4
11.6847572,10390.1719,4
11.9746418,10582.6172,4
12.441083,9980.329,4
13.5769787,8629.746,4
14.5793381,9962.905,4
14.8678827,10381.9053,4
15.0130043,10058.0547,4
15.103653,10229.28,4
15.2602968,10253.2393,4
15.5115385,10061.9834,4
19.452177,10242.3428,4
19.47097,9182.211,4
20.4402466,10268.8418,4
20.8287563,10330.5693,4
21.2751427,10427.8945,4
21.9837151,10088.7041,4
22.1679344,8832.848,4
22.8894653,10323.84,4
22.9965343,10204.8,4
23.1967983,10399.1064,4
23.3705177,10158.1748,4
23.77532,10098.5117,4
24.1365643,9499.848,4
26.5804577,10121.1611,4
26.7109661,10157.1611,4
27.4454441,1612.817,1
27.7664433,10237.8428,4
27.95432,9801.834,4
28.2176113,10225.542,4
28.9997025,9585.957,4
29.084898,10299.3037,4
29.1914864,10210.4629,4
29.83108,10278.6523,4
30.0127544,10130.0527,4
30.290554,10143.1572,4
31.2446823,9475.445,4
31.36745,10554.8994,4
31.8358421,10174.082,4
32.08092,10506.5947,4
32.19686,1590.68762,1
35.10385,10181.1514,4
35.38026,10080.8516,4
35.4234657,1636.36633,1
35.9183769,1723.418,1
35.96527,10375.5361,4
35.9814835,10341.5273,4
36.00249,10014.71,4
36.29472,10161.2529,4
36.37732,10347.4121,4
36.615406,10295.2412,4
36.92914,1630.81641,1
36.9926758,10310.1328,4
37.31519,10382.6387,4
37.384716,1572.79749,1
37.84916,10323.1563,4
38.59393,1587.22607,1
38.60902,10345.457,4
38.7085457,1532.695,1
38.9607239,9341.369,4
39.4473763,10320.1162,4
39.54831,1627.853,1
39.65061,1546.72668,1
40.0482178,1643.83777,1
40.16437,10082.4971,4
40.63297,1671.45947,1
40.6850929,10116.6025,4
41.2836151,1571.012,1
41.28551,10179.4678,4
41.3965836,1568.93262,1
41.4248428,1497.42163,1
41.52671,10186.7754,4
41.68912,10370.6963,4
41.8117371,1593.35132,1
41.8256149,9797.091,4
41.83098,1599.85864,1
41.9312019,10339.9,4
41.9687843,1605.42432,1
42.10878,1594.41687,1
42.21088,10242.9033,4
42.24867,1581.17932,1
42.28943,9481.321,4
42.2975769,10366.6064,4
42.4232368,1604.28247,1
42.5255547,1576.28809,1
42.67116,10553.0781,4
42.6816,1579.59058,1
42.699604,1527.1499,1
43.17269,1590.13672,1
43.1798935,10445.2568,4
43.30084,10061.7109,4
43.327034,1775.24121,1
43.3622169,8174.563,4
43.4076843,1564.621,1
43.59882,1547.186,1
43.7846527,10327.46,4
43.866,10361.8779,4
43.9799423,1721.3479,1
44.03467,1632.043,1
44.0732536,1627.85986,1
44.4431458,10388.39,4
44.7952843,1475.72327,1
45.2972374,10301.9072,4
45.8444557,1573.52173,1
45.92337,10137.7891,4
45.9998627,1682.35132,1
46.0821533,1697.5752,1
46.1457176,1548.27075,1
46.27913,1518.95044,1
46.527565,10254.2217,4
46.69076,1527.6864,1
46.83433,1561.87952,1
46.9759178,1552.86646,1
47.0042763,1603.05713,1
47.0440865,9790.379,4
47.0736847,1673.52319,1
47.1502647,1570.43494,1
47.3546562,1557.73242,1
47.36048,1544.17993,1
47.3671722,1687.02881,1
47.7228432,1562.71265,1
47.773613,1570.95581,1
47.7882843,1511.938,1
47.8295326,1541.62524,1
47.8524437,1532.94836,1
48.0253029,1517.91,1
48.0357437,1589.553,1
48.05908,8966.538,4
48.166317,1547.72852,1
48.19784,1530.02246,1
48.2139854,1631.52991,1
48.218483,1533.54248,1
48.2829933,10437.69,4
48.36908,10178.09,4
48.4153671,10356.2988,4
48.50421,1531.507,1
48.52611,1527.65869,1
48.53888,1498.75317,1
48.5434647,1568.247,1
48.613327,10197.05,4
48.61822,1651.65381,1
48.65485,1581.96912,1
48.7685776,1599.24976,1
48.8434334,1603.08508,1
48.8493919,1626.58386,1
48.8495064,1553.0387,1
49.0115433,1561.605,1
49.03214,10035.085,4
49.0694923,1610.32947,1
49.24085,1584.799,1
49.2823677,1599.38562,1
49.3521652,9932.964,4
49.7734947,10096.8193,4
49.8821869,1581.59814,1
50.15136,1743.14038,1
50.17066,1539.26355,1
50.17854,1582.39429,1
50.1971855,10204.2637,4
50.2044678,10286.4834,4
50.2794762,10282.5547,4
50.2887535,1598.133,1
50.3507347,10063.4443,4
50.357357,1515.732,1
50.5023155,1710.91016,1
50.50662,1605.20093,1
50.65311,1545.91846,1
50.78932,1611.06763,1
50.8140869,1679.02087,1
50.83726,1628.10852,1
51.02124,10029.0859,4
51.03534,10136.4092,4
51.06442,1553.19409,1
51.1118965,10246.1289,4
51.18042,1617.26819,1
51.2320862,1542.957,1
51.275444,1539.56274,1
51.4236755,1587.4668,1
51.4406738,1575.89929,1
51.54298,10029.25,4
51.5860062,1571.3595,1
51.69047,1546.83459,1
51.7305222,1600.49426,1
51.9422836,1649.91113,1
51.9782524,10204.6523,4
51.9935074,1461.00562,1
52.0882034,1541.166,1
52.09895,1626.15808,1
52.14985,1704.96008,1
52.16578,1526.77673,1
52.174984,1646.08618,1
52.1855621,1548.33154,1
52.22322,1576.63318,1
52.29757,1535.458,1
52.31481,10207.543,4
52.343338,1597.488,1
52.3464622,1765.03625,1
52.35078,1532.10791,1
52.3845024,1634.18335,1
52.44287,1548.81421,1
52.4532127,1571.781,1
52.476265,1599.94666,1
52.5452042,1584.11877,1
52.5872,1598.5592,1
52.5932274,1572.1897,1
52.5977745,1584.34839,1
52.63961,1637.58887,1
