Ch1 Amplitude,Ch2 Amplitude,Cluster
13.1307182,766.8705,1
18.9299335,693.449158,1
21.9068451,637.703369,1
21.9852943,749.92395,1
22.2372437,724.2043,1
22.31302,705.281738,1
22.5078526,720.1802,1
22.6363773,676.1594,1
22.7974949,688.1419,1
23.0057983,708.969238,1
24.5989971,700.1773,1
24.648634,684.7087,1
24.6902,759.1073,1
24.90833,653.8898,1
25.2469082,698.4616,1
25.2904663,681.9075,1
25.4172974,707.6659,1
25.5521011,693.9024,1
25.6129036,722.122,1
25.9622917,684.535767,1
26.2795124,679.279846,1
26.4852772,684.033447,1
26.51558,721.6488,1
26.5506763,724.383362,1
26.85114,726.8115,1
27.0240879,718.977356,1
27.1897373,665.917847,1
27.4970417,700.5801,1
27.5061169,687.434265,1
27.5634079,691.1176,1
27.7234383,668.752441,1
27.8842239,678.233765,1
27.9442081,715.7489,1
28.1837578,727.0571,1
28.765522,661.676331,1
28.828743,743.851135,1
28.9087353,687.8788,1
29.0561771,697.8085,1
29.1245,742.683044,1
29.2477779,695.6852,1
29.29825,743.6854,1
29.3491058,705.3269,1
29.5125122,642.6814,1
29.5333862,665.735535,1
29.5406723,716.1902,1
29.6818867,682.2499,1
29.7647324,682.750732,1
29.7695045,666.697449,1
29.78009,678.520447,1
29.7850971,631.9536,1
29.84512,754.652954,1
29.847578,688.2055,1
29.8792114,705.1422,1
30.0610332,671.3916,1
30.1833954,681.238831,1
30.35522,746.3519,1
30.4262257,671.622253,1
30.44608,697.7243,1
30.502594,704.4524,1
30.5480022,726.766357,1
30.6290779,660.8475,1
30.645792,681.693848,1
30.69816,691.1011,1
30.74923,698.8163,1
30.8924446,649.6,1
31.0993614,676.3396,1
31.1114635,706.9306,1
31.3371029,665.858154,1
31.4070358,704.6566,1
31.4832,695.105469,1
31.57756,632.2921,1
31.7759876,674.1115,1
31.8239613,686.9107,1
31.9808979,679.4928,1
32.1288071,719.003845,1
32.1855736,660.27124,1
32.3389244,757.772156,1
32.3582153,711.6107,1
32.40143,669.0974,1
32.4079666,646.9255,1
32.43399,709.6957,1
32.45781,701.7897,1
32.5003433,687.5041,1
32.5123558,691.8306,1
32.62431,738.5546,1
32.629982,721.9551,1
32.6944275,661.663452,1
32.7770424,682.2842,1
32.8282166,675.6567,1
32.908474,747.4712,1
32.9708672,701.0926,1
33.098877,694.009766,1
33.111702,696.816,1
33.1534538,663.6519,1
33.16374,684.5166,1
33.19157,694.9558,1
33.19431,634.175354,1
33.29858,690.5344,1
33.3276329,693.1095,1
33.34698,704.842,1
33.3471832,727.5281,1
33.38036,684.5941,1
33.39647,660.4962,1
33.39751,718.1087,1
33.4991226,671.0779,1
33.5188332,621.461,1
33.583004,711.078,1
33.6769257,642.0564,1
33.75865,719.6418,1
33.8311424,709.3395,1
33.843338,695.5956,1
33.8518143,698.8264,1
33.9039268,684.2979,1
33.92549,723.793945,1
33.92731,653.946533,1
33.96717,672.81134,1
33.9732552,674.289,1
33.98115,684.828857,1
33.98932,647.9679,1
34.0091248,671.144836,1
34.24009,674.0608,1
34.261795,667.3348,1
34.33139,686.195557,1
34.3853836,709.4622,1
34.43719,667.750244,1
34.510952,682.490051,1
34.5182877,644.56665,1
34.61027,705.174866,1
34.7060471,716.3959,1
34.74607,665.011047,1
34.88359,713.931,1
34.9406662,689.4896,1
35.0236,675.960938,1
35.0572281,636.5694,1
35.0624046,693.6687,1
35.07858,640.6578,1
35.0882721,704.706238,1
35.1662178,730.295654,1
35.1994667,634.2953,1
35.2046165,667.241943,1
35.21866,689.3321,1
35.2325134,632.019531,1
35.275856,659.022339,1
35.28682,689.161438,1
35.3572845,655.901245,1
35.4181938,705.212769,1
35.4677429,606.716248,1
35.4729271,717.197754,1
35.53037,709.630737,1
35.536335,681.6015,1
35.57536,649.0066,1
35.577,725.138855,1
35.5788345,640.5379,1
35.60323,728.488464,1
35.6243,733.574158,1
35.6288147,776.950745,1
35.699852,729.5078,1
35.71779,712.2427,1
35.7335625,727.1434,1
35.7401352,721.4684,1
35.7447777,702.7814,1
35.7643661,730.5644,1
35.7813759,635.411865,1
35.82167,662.930664,1
35.83984,676.9325,1
35.86632,619.415161,1
35.87336,704.3075,1
35.8953629,696.369,1
35.9265137,664.580933,1
35.9461746,657.547,1
35.9806023,699.02594,1
35.99413,726.2752,1
35.9963837,698.779,1
36.0142975,728.056641,1
36.0463028,747.8863,1
36.1125946,706.3543,1
36.11752,690.253662,1
36.1528168,734.490051,1
36.17229,698.270142,1
36.1800766,664.7698,1
36.2049141,662.8252,1
36.2242241,695.1139,1
36.339035,743.5114,1
36.37434,694.3645,1
36.42541,732.6677,1
36.4339256,699.5998,1
36.49492,723.243835,1
36.5302963,662.13385,1
36.57154,677.8765,1
36.575634,706.5554,1
36.6195946,712.9353,1
36.6405945,650.5989,1
36.64906,732.551147,1
36.68262,641.2291,1
36.6834259,711.8323,1
36.7131729,676.191345,1
36.78966,733.41626,1
36.829174,721.649536,1
36.8754158,676.835754,1
36.9251823,686.026367,1
36.9309845,742.9934,1
36.972,676.9874,1
36.9919662,662.8099,1
37.0175667,686.6996,1
37.04844,656.1151,1
37.0846062,718.594666,1
37.10128,702.953857,1
37.10319,706.968,1
37.14356,720.5989,1
37.1642342,669.355835,1
37.1642952,723.287,1
37.2218437,754.208435,1
37.2251244,675.914368,1
37.2302055,693.6262,1
37.2374763,718.345337,1
37.2598267,717.849,1
37.26048,705.3199,1
37.2799225,661.3101,1
37.3076935,660.562134,1
37.31742,706.181335,1
37.33216,710.650757,1
37.36866,671.8474,1
37.3746643,655.871338,1
37.3891335,692.509033,1
37.4017868,690.5833,1
37.4102478,670.8265,1
37.43868,698.98645,1
37.46689,711.966553,1
37.47109,667.995239,1
37.4977531,682.8384,1
37.5398369,684.968,1
37.6170578,653.404358,1
37.62857,691.205566,1
37.63136,697.617432,1
37.69712,678.148254,1
37.70581,722.2243,1
37.7415,652.6628,1
37.7531357,648.732666,1
37.7620621,676.7949,1
37.78553,683.514343,1
37.7874374,696.453,1
37.8057442,676.848938,1
37.8455772,632.4837,1
37.85102,665.8171,1
37.85646,704.5754,1
37.87839,658.339966,1
37.90148,697.6428,1
37.9268074,696.456848,1
37.9407768,683.7618,1
37.94487,675.378357,1
37.9463959,670.532959,1
37.94726,696.532532,1
37.9548454,649.285156,1
37.9570961,691.889832,1
37.9681129,705.739258,1
37.9789162,686.0737,1
37.9806976,652.8937,1
37.9881439,644.3171,1
38.0014839,740.641663,1
38.00814,659.4525,1
38.0315361,634.7126,1
38.05422,677.4462,1
38.05593,681.811768,1
38.07082,619.8899,1
38.078064,687.3696,1
38.0856972,649.8828,1
38.0993729,710.1078,1
38.1961327,641.411743,1
38.21011,676.738647,1
38.21225,671.1038,1
38.22801,660.680847,1
38.23705,634.097168,1
38.2836037,671.974731,1
38.30072,700.873,1
38.3071251,684.8814,1
38.34468,671.449951,1
38.34834,692.440063,1
38.3715363,639.229736,1
38.39277,731.051331,1
38.42139,695.227844,1
38.4507256,674.199,1
38.4648857,715.152954,1
38.48009,596.7184,1
38.48787,717.7136,1
38.49806,697.516968,1
38.5021133,694.2061,1
38.5284042,669.444,1
38.5439949,613.525757,1
38.56234,696.2716,1
38.578476,700.936768,1
38.60554,667.3452,1
38.6082,699.499268,1
38.64058,681.118042,1
38.6428566,663.511963,1
38.64697,666.2585,1
38.656353,700.5896,1
38.6584167,677.653,1
38.6918755,679.1539,1
38.7494164,664.640442,1
38.7656822,725.538452,1
38.79334,670.8136,1
38.7946243,665.438843,1
38.8549,726.1093,1
38.8598824,689.137451,1
38.8728676,672.965637,1
38.8801231,662.660645,1
38.88985,651.4089,1
38.89298,658.132263,1
38.8933449,724.38855,1
38.9054451,721.9786,1
38.9107552,692.235657,1
38.9111366,665.313843,1
38.91602,734.242859,1
38.9285736,626.930359,1
38.9557953,674.110168,1
38.97239,684.1919,1
38.9896126,724.358032,1
39.01244,681.3049,1
39.0274544,665.758,1
39.0288429,626.0382,1
39.0342636,652.3487,1
39.03489,653.797058,1
39.0716,666.2482,1
39.0722427,700.4943,1
39.0797958,673.0803,1
39.08029,667.1124,1
39.08052,634.6073,1
39.08549,707.8296,1
39.09619,709.0021,1
39.1712265,730.540833,1
39.1863251,686.07666,1
39.20954,675.232849,1
39.2235374,648.120056,1
39.2366867,641.9582,1
39.23746,723.2255,1
39.24948,688.95166,1
39.26451,716.8067,1
39.2790871,654.776,1
39.2917976,668.3427,1
39.2959938,675.6818,1
39.3265724,650.1859,1
39.36338,668.731445,1
39.378582,699.805359,1
39.4003,735.3508,1
39.4085426,704.354736,1
39.43134,663.6095,1
39.44529,687.9945,1
39.4495621,659.1547,1
39.47327,721.1282,1
39.47616,681.658,1
39.4918442,660.854065,1
39.5008659,698.712952,1
39.50897,659.3556,1
39.51728,703.447,1
39.53173,660.1053,1
39.5434341,685.464539,1
39.54795,666.9628,1
39.5670166,663.1913,1
39.5833,722.362244,1
39.58721,644.2541,1
39.6473236,665.560242,1
39.649292,689.4714,1
39.666214,734.480652,1
39.67259,684.131042,1
39.694046,678.446045,1
39.7020073,704.5145,1
39.70653,696.8152,1
39.71491,652.8077,1
39.7281647,687.135437,1
39.7421379,731.1114,1
39.7545547,688.442566,1
39.7706451,586.8655,1
39.78835,723.1336,1
39.8310051,664.5822,1
39.8310928,666.3924,1
39.83561,651.8481,1
39.84128,644.6612,1
39.8423538,682.8992,1
39.8436356,694.921265,1
39.8987236,697.11554,1
39.9182854,633.8204,1
39.91949,738.3107,1
39.9210167,603.841736,1
39.9402847,655.0394,1
39.9538,660.325256,1
39.981266,719.6689,1
39.98914,691.5126,1
40.0222359,696.3899,1
40.0453453,671.846741,1
40.0598869,648.205444,1
40.0639839,634.9001,1
40.07957,673.724548,1
40.09139,686.069946,1
40.11083,728.6237,1
40.11579,687.2365,1
40.1355553,689.510254,1
40.1381836,615.708069,1
40.1443863,685.2149,1
40.15398,677.1939,1
40.17706,646.79834,1
40.1791878,659.777344,1
40.196846,662.7069,1
40.1995239,684.204651,1
40.2255173,739.638,1
40.2294922,679.1939,1
40.25336,721.8363,1
40.2566757,703.7248,1
40.2706528,675.068054,1
40.2955627,671.176636,1
40.3392563,671.4749,1
40.3487854,683.6942,1
40.364502,671.8016,1
40.3755341,693.0714,1
40.4543839,673.2627,1
40.4569855,711.457,1
40.46467,680.944,1
40.49938,665.7001,1
40.5015,678.9761,1
40.5044632,683.089539,1
40.50961,716.4655,1
40.51531,686.053,1
40.51781,707.9596,1
40.51931,712.6639,1
40.5277824,697.0513,1
40.52793,697.3086,1
40.5438728,671.236938,1
40.5642052,677.7332,1
40.56591,683.286743,1
40.57624,657.954651,1
40.5782433,684.1778,1
40.5786324,674.0499,1
40.5872,659.3901,1
40.5938148,621.3573,1
40.6030235,677.857666,1
40.6145325,694.902466,1
40.6419868,698.7771,1
40.6444931,649.616638,1
40.65079,699.9688,1
40.6580849,691.0615,1
40.6714058,645.7663,1
40.6852837,679.6201,1
40.68911,696.166,1
40.69274,726.9133,1
40.69304,657.974365,1
40.69717,738.0253,1
40.7681046,663.6918,1
40.76976,726.22,1
40.77837,673.6982,1
40.7915268,689.364563,1
40.7941475,695.4751,1
40.83527,672.862244,1
40.8423843,696.8488,1
40.8504562,687.3025,1
40.8566742,707.992065,1
40.8643265,730.0716,1
40.87178,691.992859,1
40.87879,666.2316,1
40.8927422,734.089844,1
40.8941345,705.782,1
40.897,674.717651,1
40.9001656,674.749939,1
40.9018,710.9175,1
40.9063873,707.397339,1
40.92636,662.1987,1
40.9268723,690.590942,1
40.92846,668.9412,1
40.9479,698.435547,1
40.9494133,690.3206,1
40.98075,687.4352,1
40.984478,672.691956,1
40.9849968,742.5941,1
40.9899254,689.001465,1
41.0375328,715.2569,1
41.03967,657.9818,1
41.04173,614.2802,1
41.0466347,673.802856,1
41.0563622,639.7392,1
41.1255569,703.8018,1
41.15035,680.2693,1
41.1744576,652.6021,1
41.17963,686.7544,1
41.20657,666.1948,1
41.2108154,727.935242,1
41.23178,695.329041,1
41.2322044,702.931946,1
41.26521,738.864563,1
41.27697,661.5471,1
41.29669,639.496643,1
41.3329124,758.635254,1
41.337204,683.4614,1
41.34036,679.9717,1
41.346405,679.084,1
41.3722,701.485962,1
41.3750229,744.2105,1
41.375248,683.221863,1
41.37871,715.5377,1
41.387146,727.6578,1
41.41821,692.3307,1
41.43014,677.9442,1
41.43201,660.8953,1
41.44448,657.241943,1
41.4676056,676.129944,1
41.47709,635.202942,1
41.4778,696.7129,1
41.4792557,661.1483,1
41.49244,728.378662,1
41.4929733,710.2734,1
41.49351,704.470032,1
41.5017662,645.3654,1
41.5019455,630.764832,1
41.5087471,634.960938,1
41.5091743,699.5218,1
41.519577,692.9351,1
41.5264854,688.2958,1
41.52871,696.1986,1
41.5290833,675.5448,1
41.5444527,689.7689,1
41.54705,683.984253,1
41.5545731,679.6828,1
41.5766945,653.050537,1
