Ch1 Amplitude,Ch2 Amplitude,Cluster
-46.992157,10215.3691,4
-41.5213661,10104.7256,4
-37.7134,10323.8809,4
-25.4338055,9642.903,4
-24.3806973,10059.0625,4
-19.7537365,9841.772,4
-18.0761719,10395.8848,4
-14.4213047,10509.9707,4
-13.7614565,9695.116,4
-13.4342356,10304.6318,4
-13.3356342,10435.7129,4
-12.3409681,10417.5537,4
-10.5864067,10129.0449,4
-10.5284615,8809.317,4
-7.85974932,10476.6172,4
-7.522538,10126.9072,4
-7.19611549,10694.17,4
-6.25769424,9174.43,4
-4.922647,10383.9746,4
-2.06809258,10286.0449,4
-1.9348985,10379.5361,4
0.376921982,10106.9336,4
0.61793673,10047.6045,4
0.672355056,10424.3711,4
1.28224349,10568.6924,4
1.41306818,10271.3242,4
2.90913987,10724.7627,4
3.30584574,10325.3408,4
3.695658,10222.0449,4
4.083246,10541.3789,4
5.010421,9409.568,4
7.024294,10395.4922,4
7.04211235,10023.0205,4
7.819502,10278.6455,4
8.769481,10153.3633,4
11.04167,10437.04,4
11.1939306,10132.6816,4
11.4245949,10478.0332,4
11.5393095,10281.0977,4
11.5925093,10517.8428,4
12.4132519,9973.623,4
12.6065741,10422.5371,4
13.0588331,10298.5684,4
13.1024389,9977.162,4
13.2317238,10403.3281,4
13.6746378,10397.6865,4
13.7118368,10121.2813,4
13.7148151,9063.045,4
13.7990284,9796.688,4
14.8453093,7995.202,4
15.2178879,10363.87,4
16.11918,9755.789,4
16.130764,10257.5908,4
16.19183,10440.6689,4
17.5024643,9792.777,4
17.5434,10355.8223,4
17.60189,10190.0322,4
17.6437569,10324.5127,4
18.1832218,9612.445,4
18.1981659,10296.4229,4
18.9946365,10167.3271,4
19.10541,10076.6475,4
19.22585,10271.8428,4
19.4612026,10401.5566,4
20.5624275,10109.748,4
21.266201,10259.6367,4
21.3484917,1605.62842,1
21.5758858,10424.5684,4
22.2571087,10318.5449,4
23.0776348,10257.7432,4
24.7222538,10633.9922,4
25.1535034,10405.626,4
25.54334,10639.6377,4
25.62708,9960.062,4
25.6742153,10135.916,4
25.8313465,10049.4492,4
25.9548664,10216.4863,4
26.1278267,10425.6318,4
26.2244568,10287.4033,4
27.4026031,10193.2061,4
27.8033581,10320.6865,4
28.2410965,10513.8672,4
28.4105873,10392.6094,4
29.5586662,10285.9707,4
29.7940159,10013.0664,4
29.9063358,10060.165,4
30.1858654,10159.3594,4
30.3450489,10512.167,4
30.74823,10223.0088,4
31.2382488,10465.9063,4
31.6926041,10223.7715,4
31.9742031,10122.8428,4
32.1723976,9893.571,4
32.24869,10042.0176,4
32.98255,1555.873,1
33.19797,10501.5947,4
33.4123726,10354.7461,4
33.9214821,10244.293,4
34.03419,10247.2344,4
34.346447,10139.34,4
35.2997,10342.0625,4
35.3458366,1605.794,1
36.5303574,10368.9414,4
36.9060936,1641.28723,1
37.25842,1663.15479,1
37.37222,10305.959,4
37.8499146,9813.259,4
37.9160347,10068.9238,4
38.04401,10590.8193,4
38.16214,9637.824,4
38.2335434,1618.00476,1
38.326683,10310.67,4
38.3527336,8569.293,4
38.559063,1617.05627,1
38.57021,1626.48047,1
38.6753845,10199.5127,4
38.8287964,10283.5771,4
38.92982,1537.00012,1
39.3155861,1597.61328,1
39.8412743,1564.71973,1
39.864193,10067.9238,4
39.9743233,10321.502,4
39.97932,10276.627,4
40.0423126,1554.55786,1
40.1392441,1600.52283,1
40.1970444,10075.26,4
40.24423,10159.77,4
40.30553,1708.52783,1
40.3687,1624.65674,1
40.41103,1564.80286,1
40.4812775,1634.2384,1
41.00841,10225.6377,4
41.42659,1601.45093,1
