x-coordinate_in_pixel, y-coordinate_in_pixel, Chan1_FluoValue, Chan2_FluoValue, Chan3_FluoValue, index
1447, 313, 16532, 7103, 3512, 121
1176, 368, 17345, 7569, 3561, 122
1848, 436, 17368, 7122, 3579, 123
2210, 382, 15595, 7755, 23260, 124
1950, 455, 16376, 6874, 3284, 125
826, 273, 17061, 7976, 3928, 126
1935, 369, 16091, 6883, 3477, 127
841, 348, 17891, 8341, 4138, 128
2080, 436, 15371, 6725, 3246, 129
2256, 268, 15070, 6462, 3217, 130
822, 322, 18253, 8119, 4068, 131
929, 483, 17613, 7437, 3751, 132
1356, 436, 17348, 7269, 3647, 133
1055, 502, 18052, 7769, 3864, 134
1659, 313, 17316, 7219, 3540, 135
1864, 267, 16463, 7067, 3266, 136
1211, 323, 17231, 7426, 3454, 137
1821, 719, 17080, 7317, 3468, 138
904, 189, 18212, 7977, 3920, 139
2228, 383, 15495, 6595, 3235, 140
1095, 456, 17726, 7394, 3673, 141
2228, 273, 15236, 6555, 3216, 142
731, 1202, 14492, 6090, 3041, 143
2219, 268, 13922, 5796, 2847, 144
1264, 369, 17522, 7579, 3601, 145
2023, 350, 15936, 6815, 3278, 146
1900, 313, 16288, 6692, 3274, 147
1138, 371, 17266, 7424, 3570, 148
1000, 676, 18379, 7906, 3818, 149
1925, 747, 16518, 7123, 3416, 150
906, 319, 17498, 7544, 3679, 151
2062, 327, 15190, 6425, 3174, 152
1770, 488, 17173, 6971, 3527, 153
1192, 741, 18203, 7882, 3741, 154
2080, 274, 15538, 6552, 3226, 155
1127, 697, 18183, 7875, 3896, 156
895, 200, 18794, 9832, 30502, 157
2164, 355, 16025, 6759, 3319, 158
1840, 375, 17440, 7074, 3534, 159
1630, 274, 17181, 7125, 3598, 160
1331, 328, 17460, 7381, 3674, 161
1809, 1230, 15305, 6464, 3394, 162
1271, 319, 16862, 7208, 3414, 163
907, 201, 18244, 8207, 4019, 164
1105, 461, 17490, 7474, 3587, 165
1964, 354, 16264, 6688, 3337, 166
1929, 519, 16775, 7062, 3476, 167
1553, 319, 16458, 7030, 3421, 168
1130, 388, 17623, 7678, 3582, 169
2006, 273, 15437, 6641, 3302, 170
1219, 443, 17293, 7384, 3553, 171
807, 332, 18199, 8579, 4279, 172
2079, 1226, 15097, 6244, 3163, 173
793, 274, 17974, 8516, 3976, 174
1571, 507, 17345, 7368, 3830, 175
1463, 460, 17257, 7281, 3950, 176
859, 207, 17773, 8132, 3870, 177
1879, 355, 16711, 7056, 3386, 178
886, 207, 18396, 8093, 4084, 179
672, 389, 17446, 7799, 3731, 180
2198, 680, 15043, 6449, 3278, 181
2136, 274, 15554, 6484, 3199, 182
739, 698, 17278, 7729, 3980, 183
901, 355, 18128, 7760, 3931, 184
1765, 319, 17144, 6860, 3431, 185
1982, 376, 16073, 6647, 3327, 186
1591, 275, 17009, 7121, 3501, 187
1360, 332, 16838, 8557, 25992, 188
1609, 719, 16099, 6791, 3449, 189
1466, 303, 16206, 6955, 3339, 190
837, 211, 17877, 7974, 4014, 191
1803, 341, 16584, 6810, 3323, 192
1938, 315, 16214, 6952, 3299, 193
826, 211, 18830, 8151, 4098, 194
1049, 682, 18175, 7640, 3824, 195
1457, 275, 17077, 7367, 3790, 196
1861, 333, 17407, 7203, 3378, 197
1648, 373, 17797, 7091, 3572, 198
654, 486, 18303, 8040, 3921, 199
905, 212, 18538, 8160, 4087, 200
2062, 274, 15330, 6537, 3200, 201
1668, 352, 17092, 7217, 3566, 202
1640, 302, 17387, 7084, 3490, 203
1240, 315, 16686, 6893, 3424, 204
850, 214, 18749, 8039, 3979, 205
1649, 341, 17231, 6933, 3561, 206
2107, 517, 15410, 6598, 3328, 207
894, 215, 18684, 8467, 4244, 208
1201, 466, 17380, 7416, 3768, 209
1553, 275, 17071, 6993, 3563, 210
904, 442, 17693, 7547, 3666, 211
1437, 351, 16673, 7064, 3366, 212
1255, 386, 17810, 7632, 3624, 213
1919, 303, 15917, 6610, 3194, 214
2199, 485, 15574, 6565, 3263, 215
879, 216, 18942, 9804, 30908, 216
1398, 341, 16906, 8446, 26072, 217
2043, 317, 15612, 6656, 3321, 218
865, 219, 18436, 8050, 3899, 219
1972, 720, 15844, 6796, 3315, 220
1380, 375, 16828, 7061, 3588, 221
1763, 384, 17598, 7054, 3466, 222
1367, 475, 17318, 7340, 3714, 223
2173, 317, 15733, 6489, 3125, 224
1515, 276, 16261, 7006, 3496, 225
1369, 508, 17474, 7531, 3734, 226
1827, 466, 16405, 6722, 3487, 227
924, 353, 17608, 7740, 3815, 228
147, 750, 18551, 7850, 3900, 229
1272, 341, 17136, 7235, 3576, 230
2145, 311, 15283, 6315, 3191, 231
1689, 275, 16845, 6931, 3486, 232
2029, 699, 16246, 6816, 3446, 233
841, 221, 18363, 8043, 3821, 234
1350, 348, 16634, 7095, 3440, 235
1783, 352, 16896, 7014, 3375, 236
1476, 275, 16562, 7051, 3556, 237
1572, 330, 16805, 8366, 26340, 238
709, 483, 18180, 8079, 3947, 239
819, 222, 18643, 8078, 3942, 240
830, 222, 18273, 7750, 3921, 241
725, 383, 18670, 9591, 29765, 242
2033, 462, 15735, 6702, 3246, 243
1911, 276, 15894, 6767, 3319, 244
694, 347, 17634, 7761, 3825, 245
1940, 482, 16424, 6956, 3331, 246
1601, 313, 17140, 7245, 3559, 247
2237, 278, 15383, 6461, 3259, 248
1485, 325, 16598, 6933, 3326, 249
1128, 515, 18285, 7632, 3721, 250
1360, 277, 16346, 6919, 3338, 251
1292, 329, 17316, 7325, 3667, 252
2052, 312, 15807, 6677, 3254, 253
856, 225, 18330, 8325, 3898, 254
1463, 382, 16954, 7160, 3574, 255
1048, 464, 17696, 7626, 3771, 256
1766, 275, 16870, 6757, 3441, 257
2173, 349, 15846, 6648, 3497, 258
1864, 278, 17268, 6903, 3394, 259
931, 700, 17971, 7752, 3781, 260
887, 225, 17304, 8128, 4111, 261
1503, 348, 16914, 7123, 3529, 262
2256, 278, 14497, 6391, 3210, 263
721, 327, 17805, 7716, 3811, 264
2047, 722, 15893, 6800, 3332, 265
849, 318, 18244, 7906, 3916, 266
898, 226, 18721, 8539, 4120, 267
955, 387, 17756, 8078, 3975, 268
918, 488, 17610, 7500, 3723, 269
876, 227, 18607, 8441, 4132, 270
1311, 317, 16388, 7339, 3409, 271
1337, 459, 16956, 7315, 3684, 272
2200, 278, 15951, 6542, 3224, 273
2256, 226, 15447, 6636, 3229, 274
962, 353, 17218, 7440, 3554, 275
693, 1205, 14966, 6454, 3157, 276
2154, 273, 16709, 6681, 3341, 277
1127, 355, 17022, 7353, 3648, 278
1744, 374, 17517, 7289, 3650, 279
2210, 273, 16069, 6680, 3204, 280
1369, 326, 16315, 6919, 3388, 281
666, 486, 17535, 7558, 3869, 282
1611, 319, 16984, 7069, 3498, 283
1981, 387, 16144, 6766, 3318, 284
686, 752, 17192, 7482, 3829, 285
2163, 279, 16140, 6502, 3427, 286
1841, 353, 17606, 7287, 3445, 287
1726, 319, 17486, 7222, 3573, 288
1447, 302, 17003, 7164, 3590, 289
1977, 274, 15956, 6800, 3271, 290
1258, 441, 17820, 8908, 27263, 291
1852, 327, 17433, 7071, 3392, 292
866, 229, 18185, 8147, 4142, 293
2066, 722, 15877, 6968, 3363, 294
2107, 506, 15412, 6415, 3275, 295
812, 231, 18027, 7995, 4012, 296
1725, 374, 16941, 7182, 3629, 297
1341, 333, 17084, 7264, 3560, 298
847, 232, 18649, 8386, 4067, 299
1916, 709, 16665, 7022, 3445, 300
1620, 302, 16631, 6754, 3371, 301
1840, 386, 17200, 6908, 3438, 302
1048, 331, 17128, 7624, 3699, 303
2179, 1215, 15502, 6683, 3435, 304
1907, 703, 16832, 6944, 3466, 305
2210, 231, 16642, 6662, 3434, 306
2004, 339, 16001, 6918, 3336, 307
1775, 302, 16864, 6853, 3416, 308
2247, 230, 15573, 6754, 3320, 309
824, 232, 18644, 8047, 3971, 310
1186, 373, 17518, 7245, 3542, 311
2089, 333, 15496, 6461, 3263, 312
1706, 474, 16922, 6995, 3564, 313
836, 232, 18562, 8114, 4144, 314
2005, 467, 16231, 6804, 3216, 315
1389, 259, 16055, 6781, 3497, 316
720, 454, 18698, 8309, 4070, 317
2228, 231, 15631, 7002, 3458, 318
1870, 339, 17765, 7113, 3423, 319
821, 303, 18571, 8474, 4122, 320
2024, 467, 16239, 6910, 3357, 321
2173, 252, 16491, 6852, 3866, 322
800, 233, 17051, 7605, 3755, 323
1292, 340, 17053, 7190, 3541, 324
835, 253, 18430, 8577, 4150, 325
2164, 333, 15707, 6561, 3203, 326
1532, 473, 17542, 7399, 3699, 327
958, 740, 17768, 7728, 3781, 328
1206, 1207, 16081, 6921, 3393, 329
2237, 344, 15072, 6554, 3184, 330
1809, 1211, 15622, 6547, 3291, 331
2136, 251, 15429, 6711, 3195, 332
2035, 234, 15777, 6896, 3318, 333
1114, 340, 17078, 7143, 3517, 334
2134, 512, 15428, 6650, 3167, 335
1847, 468, 16826, 6913, 3455, 336
1419, 253, 16007, 7078, 3490, 337
2201, 344, 15338, 6509, 3164, 338
1134, 465, 17779, 7636, 3766, 339
1968, 257, 16420, 7172, 3564, 340
909, 308, 17688, 7833, 3796, 341
885, 235, 17846, 7952, 3968, 342
1897, 378, 16457, 6885, 3463, 343
2182, 257, 16257, 7776, 22726, 344
1909, 330, 15977, 6922, 3367, 345
2053, 235, 16443, 6777, 3268, 346
1399, 309, 16641, 7251, 3397, 347
2071, 236, 16455, 6975, 3355, 348
1965, 333, 16066, 6922, 3320, 349
2090, 236, 16171, 6821, 3389, 350
1860, 709, 16963, 7117, 3603, 351
1534, 308, 16406, 6959, 3419, 352
2145, 235, 16317, 6796, 3322, 353
2182, 236, 16305, 6809, 3296, 354
1177, 379, 17150, 7243, 3596, 355
759, 318, 17580, 7823, 3759, 356
1931, 255, 16432, 6978, 3435, 357
2179, 701, 15368, 6507, 3276, 358
1427, 346, 16391, 6919, 3453, 359
1706, 341, 17435, 8644, 26976, 360
2246, 316, 15208, 6488, 3053, 361
895, 237, 18276, 8907, 4275, 362
856, 376, 18570, 8990, 4354, 363
2162, 485, 15739, 6557, 3347, 364
737, 259, 16773, 7237, 3685, 365
2015, 451, 15987, 6983, 3306, 366
1937, 326, 16417, 6749, 3394, 367
704, 712, 17764, 7985, 3860, 368
1063, 385, 18181, 9197, 27571, 369
1533, 352, 16801, 7025, 3469, 370
1630, 330, 17354, 7243, 3626, 371
1639, 479, 17930, 7382, 3848, 372
2201, 236, 16225, 6664, 3287, 373
2052, 258, 15577, 6729, 3250, 374
1418, 330, 17086, 7471, 3786, 375
2042, 478, 15799, 6680, 3216, 376
2219, 236, 16302, 7887, 23964, 377
1707, 308, 17686, 8576, 27320, 378
2237, 236, 16019, 6739, 3277, 379
2256, 236, 15406, 6455, 3239, 380
1629, 340, 17474, 8033, 25752, 381
1427, 518, 17151, 7421, 3650, 382
1938, 304, 16236, 6517, 3298, 383
873, 238, 17658, 8305, 4109, 384
2219, 258, 15624, 6507, 3208, 385
2236, 517, 15187, 6294, 3121, 386
1761, 461, 17303, 7034, 3511, 387
729, 342, 17572, 9287, 28162, 388
1976, 317, 15945, 6812, 3290, 389
1859, 376, 16764, 8345, 25485, 390
1096, 352, 17989, 7703, 3720, 391
1223, 509, 17708, 7393, 3655, 392
2008, 238, 15948, 6708, 3330, 393
1995, 333, 16654, 6879, 3394, 394
1742, 472, 16997, 6963, 3406, 395
807, 241, 17736, 7860, 3915, 396
2107, 485, 15527, 6575, 3324, 397
862, 240, 17926, 8432, 4061, 398
586, 690, 19127, 8510, 4032, 399
2099, 327, 15430, 6405, 3210, 400
2052, 387, 15871, 6750, 3249, 401
833, 475, 18398, 8070, 4011, 402
2025, 240, 16418, 6784, 3472, 403
1927, 352, 16304, 6678, 3389, 404
1853, 305, 17477, 7304, 3589, 405
2043, 241, 16204, 6782, 3301, 406
791, 241, 17697, 7929, 3929, 407
2080, 338, 15264, 6444, 3278, 408
852, 241, 18565, 8663, 4341, 409
1887, 372, 16582, 6849, 3347, 410
1987, 258, 15821, 6665, 3395, 411
2126, 452, 15780, 6562, 3165, 412
1013, 1214, 15091, 6257, 3247, 413
1045, 384, 17561, 7385, 3746, 414
887, 258, 18327, 8530, 4170, 415
2080, 317, 15385, 6463, 3437, 416
2236, 474, 15159, 6194, 3230, 417
2062, 241, 16354, 6878, 3309, 418
1668, 518, 17486, 8844, 27266, 419
683, 468, 18175, 8033, 3871, 420
2247, 241, 15735, 6612, 3296, 421
2247, 338, 15354, 6565, 3133, 422
833, 302, 17895, 8424, 4123, 423
818, 242, 18610, 7904, 3944, 424
885, 387, 17767, 7632, 3816, 425
2256, 257, 14964, 6516, 3202, 426
1475, 331, 17078, 7204, 3590, 427
1106, 472, 17609, 7397, 3567, 428
830, 243, 18499, 8199, 4140, 429
1906, 1248, 15401, 6465, 3233, 430
841, 242, 17328, 8168, 3922, 431
970, 691, 17844, 7661, 3783, 432
1137, 703, 17715, 7742, 3869, 433
2210, 339, 15363, 6470, 3226, 434
764, 307, 18142, 8121, 3951, 435
1917, 357, 16290, 6668, 3440, 436
1986, 301, 16089, 6646, 3230, 437
2080, 242, 16590, 7030, 3278, 438
1725, 385, 17251, 8672, 26854, 439
843, 328, 18915, 8426, 4296, 440
2099, 242, 16317, 6600, 3314, 441
2085, 711, 15840, 6978, 3640, 442
537, 707, 18658, 8323, 3980, 443
2117, 241, 15758, 6786, 3244, 444
2061, 424, 15387, 6634, 3264, 445
1194, 344, 17428, 7390, 3590, 446
2052, 505, 15707, 6679, 3243, 447
2136, 241, 16331, 6703, 3303, 448
2154, 241, 16413, 6757, 3355, 449
690, 742, 17402, 7528, 3722, 450
1591, 351, 17062, 7203, 3552, 451
2164, 257, 16391, 6841, 3281, 452
2173, 241, 16971, 6931, 3458, 453
1908, 341, 16637, 8319, 25431, 454
1724, 461, 16900, 7033, 3527, 455
1448, 258, 16726, 7250, 3690, 456
2089, 452, 15763, 6707, 3329, 457
2192, 241, 16319, 6468, 3340, 458
1975, 338, 16119, 6804, 3312, 459
1301, 302, 16911, 7176, 3524, 460
2210, 241, 16616, 6625, 3969, 461
2108, 301, 15541, 6344, 3196, 462
2228, 241, 15625, 6692, 3407, 463
1064, 373, 17542, 7385, 3778, 464
2060, 510, 15263, 6472, 3092, 465
1950, 244, 15656, 6525, 3165, 466
2006, 424, 16447, 8080, 24784, 467
1999, 244, 16306, 6914, 3504, 468
2256, 378, 15504, 6392, 3459, 469
2154, 338, 15590, 6526, 3125, 470
677, 725, 17721, 7772, 3773, 471
1437, 308, 16487, 8219, 25478, 472
1932, 244, 16930, 7240, 3500, 473
1230, 470, 18398, 7574, 3629, 474
1379, 265, 16301, 6824, 3409, 475
1898, 356, 16284, 6680, 3254, 476
1048, 344, 17771, 7992, 3986, 477
1977, 472, 16451, 6815, 3261, 478
761, 360, 18458, 8197, 4030, 479
1038, 349, 18103, 9249, 29325, 480
1716, 335, 16970, 8411, 24918, 481
1454, 1220, 15333, 6739, 3319, 482
2080, 425, 15889, 6773, 3191, 483
1110, 379, 17540, 7693, 3750, 484
2043, 263, 15953, 6693, 3262, 485
1085, 338, 17352, 7654, 3725, 486
2171, 490, 15610, 6400, 3216, 487
686, 478, 18625, 7950, 3950, 488
2016, 246, 16051, 6682, 3346, 489
1753, 491, 17051, 6787, 3450, 490
2024, 306, 15129, 6624, 3142, 491
1649, 308, 17190, 7112, 3413, 492
1466, 358, 16292, 6964, 3547, 493
2034, 246, 16274, 6717, 3300, 494
1940, 261, 16626, 6930, 3368, 495
1350, 338, 16847, 7191, 3813, 496
1474, 477, 16971, 7222, 3903, 497
2052, 247, 16483, 6837, 3284, 498
1848, 425, 17252, 7102, 3342, 499
801, 473, 17391, 8217, 3978, 500
879, 247, 17883, 8259, 4233, 501
2052, 344, 15807, 6811, 3171, 502
1717, 314, 16680, 7115, 3484, 503
2042, 360, 16100, 6632, 3272, 504
890, 247, 17342, 8336, 4123, 505
1773, 357, 17431, 7140, 3387, 506
2171, 469, 15386, 6405, 3206, 507
2247, 262, 15220, 6522, 3212, 508
670, 668, 18650, 8248, 4513, 509
2191, 349, 15637, 6432, 3214, 510
932, 426, 17812, 7709, 3746, 511
2247, 383, 15501, 6649, 3211, 512
1173, 335, 17365, 7456, 3582, 513
831, 283, 18984, 8522, 4267, 514
1989, 247, 16729, 6944, 3455, 515
956, 492, 17952, 7527, 3892, 516
761, 483, 18665, 9322, 27970, 517
2245, 665, 15028, 7536, 22433, 518
2071, 247, 16234, 6747, 3263, 519
1282, 313, 17048, 7277, 3475, 520
880, 359, 18639, 8555, 4347, 521
2126, 246, 16134, 6622, 3275, 522
1636, 1211, 15423, 6348, 3372, 523
843, 263, 17631, 8245, 4039, 524
2145, 246, 15834, 6715, 3206, 525
915, 427, 17804, 7785, 3736, 526
1331, 349, 17017, 7275, 3446, 527
761, 667, 17166, 7527, 3951, 528
2163, 246, 17145, 6755, 3345, 529
1213, 333, 16944, 7061, 3380, 530
1756, 281, 17086, 6975, 3544, 531
2182, 246, 16968, 7820, 23494, 532
2127, 333, 15499, 6530, 3150, 533
2135, 490, 15415, 6408, 3523, 534
832, 263, 17027, 7730, 3779, 535
1300, 483, 17221, 7567, 3752, 536
2201, 246, 16031, 6800, 3614, 537
2117, 425, 15557, 6713, 3185, 538
2117, 263, 16046, 6536, 3230, 539
753, 338, 18161, 9557, 29418, 540
1917, 666, 16789, 7044, 3614, 541
2237, 246, 15619, 6456, 3207, 542
1117, 714, 18024, 7784, 3928, 543
950, 464, 17668, 7590, 3844, 544
771, 249, 17147, 7511, 3801, 545
1263, 347, 17235, 7298, 3563, 546
869, 249, 18598, 10126, 32311, 547
897, 309, 17496, 7667, 3725, 548
2089, 247, 15577, 6563, 3168, 549
1251, 491, 17881, 7899, 3790, 550
721, 315, 17107, 7561, 3662, 551
712, 1214, 14710, 6243, 3095, 552
762, 260, 17819, 7762, 3859, 553
1408, 357, 16650, 7022, 3566, 554
2108, 247, 16130, 6718, 3358, 555
1994, 344, 16382, 6616, 3228, 556
1563, 313, 16399, 6821, 3514, 557
2219, 247, 16058, 6836, 3426, 558
680, 517, 18917, 8276, 3975, 559
2256, 247, 15040, 6494, 3204, 560
2154, 425, 15599, 6585, 3111, 561
2016, 257, 15680, 7820, 23682, 562
1734, 701, 17026, 7301, 3618, 563
1466, 347, 16156, 6964, 3971, 564
758, 250, 16734, 7398, 3532, 565
783, 249, 16712, 7700, 3759, 566
1677, 379, 17012, 7007, 3543, 567
2154, 262, 17075, 7926, 22907, 568
1804, 330, 16689, 7043, 3399, 569
799, 249, 17628, 7703, 3911, 570
1944, 715, 16065, 7039, 3381, 571
1963, 704, 15868, 6935, 3395, 572
1659, 281, 17018, 7098, 3474, 573
2210, 262, 16412, 6741, 3361, 574
1955, 359, 16402, 6886, 3403, 575
1409, 249, 16250, 7057, 3457, 576
2098, 349, 15975, 7791, 23549, 577
1922, 249, 16500, 6918, 3379, 578
2108, 258, 16044, 6565, 3582, 579
876, 329, 17718, 7608, 3783, 580
1941, 250, 16307, 6915, 3405, 581
1949, 509, 16547, 7057, 3374, 582
846, 252, 18965, 8325, 4026, 583
1746, 308, 16530, 6973, 3328, 584
858, 251, 17020, 8337, 4180, 585
1930, 465, 16152, 6875, 3303, 586
2099, 263, 16127, 6642, 3233, 587
1716, 346, 16873, 7003, 3585, 588
1390, 380, 16952, 7234, 3922, 589
1379, 331, 16324, 7017, 3473, 590
2098, 479, 15602, 6516, 3191, 591
1959, 251, 16168, 6725, 3586, 592
1929, 309, 16220, 6667, 3341, 593
1978, 251, 16562, 7990, 23809, 594
787, 264, 17806, 7893, 4500, 595
1495, 330, 16483, 6850, 3415, 596
1397, 480, 16979, 7446, 3587, 597
2007, 251, 16046, 6937, 3352, 598
2173, 295, 15674, 6503, 3182, 599
811, 253, 17126, 8023, 3891, 600
823, 253, 18943, 8206, 4063, 601
1028, 716, 17830, 7731, 3715, 602
1893, 464, 16490, 6888, 3384, 603
1360, 342, 16462, 7055, 3465, 604
2043, 306, 15762, 7627, 23572, 605
2033, 344, 15926, 6614, 3327, 606
1912, 265, 16365, 6643, 3240, 607
976, 338, 17808, 7658, 3833, 608
1493, 476, 17610, 7362, 4111, 609
2155, 306, 15890, 6642, 3550, 610
1976, 295, 15841, 6588, 3165, 611
2024, 252, 16311, 7867, 24239, 612
948, 746, 17601, 7484, 3682, 613
2025, 263, 15853, 6689, 3381, 614
2043, 252, 16125, 6732, 3328, 615
1658, 346, 17120, 6981, 3532, 616
2173, 306, 16063, 6729, 3315, 617
2117, 252, 14781, 7322, 20512, 618
804, 295, 17756, 8607, 4200, 619
1330, 305, 16324, 7054, 3416, 620
2247, 252, 15647, 6842, 3274, 621
1129, 377, 17530, 7406, 3575, 622
739, 477, 18125, 7955, 4068, 623
2062, 252, 16018, 6784, 3270, 624
1971, 1250, 15221, 6314, 3181, 625
2080, 252, 15655, 6729, 3260, 626
1610, 264, 16269, 6933, 3273, 627
1068, 706, 19029, 8110, 4030, 628
2099, 252, 15955, 6683, 3176, 629
1860, 343, 17829, 6935, 3340, 630
1438, 264, 16452, 6986, 3508, 631
2191, 252, 16462, 6812, 3488, 632
1946, 342, 16222, 6877, 3323, 633
2210, 252, 16694, 8046, 23600, 634
2126, 376, 15772, 6506, 3442, 635
1746, 265, 17671, 7200, 3504, 636
1485, 336, 16776, 6943, 3602, 637
1400, 1220, 15769, 6995, 3357, 638
2228, 252, 15809, 6710, 3325, 639
1109, 367, 16731, 7371, 3483, 640
2024, 500, 15928, 6842, 3361, 641
1400, 253, 15897, 6827, 3451, 642
769, 295, 17160, 7899, 3913, 643
1438, 253, 16499, 7165, 3668, 644
1774, 368, 17880, 7437, 3551, 645
2162, 1242, 15228, 6348, 3176, 646
1912, 254, 16511, 6877, 3285, 647
2053, 290, 15508, 6520, 3248, 648
1950, 256, 16271, 8173, 24999, 649
2127, 290, 15940, 6753, 3186, 650
875, 257, 17502, 8343, 4537, 651
1805, 286, 16932, 7015, 3424, 652
799, 386, 17687, 8257, 4277, 653
2218, 496, 15262, 6469, 3181, 654
1736, 292, 17251, 8243, 25572, 655
1903, 258, 16520, 6965, 3235, 656
1047, 453, 18105, 7762, 3859, 657
2163, 365, 15679, 6365, 3192, 658
1447, 291, 16576, 7095, 3537, 659
1997, 257, 16106, 6638, 3263, 660
2034, 257, 15892, 6610, 3222, 661
1234, 365, 17224, 7422, 3519, 662
2126, 257, 16070, 6502, 3311, 663
1926, 363, 16673, 8574, 25908, 664
1572, 286, 17155, 8470, 25256, 665
1705, 385, 17731, 7298, 3535, 666
