x-coordinate_in_pixel, y-coordinate_in_pixel, Chan1_FluoValue, Chan2_FluoValue, Chan3_FluoValue, index
1228, 1245, 15456, 6590, 3385, 0
1330, 295, 16263, 6937, 3530, 1
1310, 488, 17364, 7365, 3667, 2
1543, 313, 16837, 6994, 3478, 3
1466, 314, 16284, 7076, 3425, 4
1968, 268, 16207, 6678, 3360, 5
2052, 322, 15986, 6571, 3158, 6
1446, 484, 17136, 7323, 3992, 7
1533, 385, 16566, 7164, 3596, 8
1997, 268, 15672, 6554, 3247, 9
902, 694, 17645, 7710, 3718, 10
2210, 350, 15639, 6660, 3242, 11
1677, 457, 17148, 8244, 26180, 12
2071, 268, 15590, 6625, 3155, 13
886, 350, 17916, 9154, 28865, 14
2051, 516, 15764, 6827, 3315, 15
926, 376, 17392, 7552, 3683, 16
1398, 276, 17059, 8644, 26576, 17
1946, 332, 16336, 6686, 3391, 18
1474, 489, 17259, 7345, 3745, 19
1543, 270, 16599, 6941, 3520, 20
776, 329, 18011, 7975, 3967, 21
1281, 484, 18070, 7778, 3693, 22
1919, 314, 16128, 6821, 3260, 23
2200, 268, 15896, 6502, 3219, 24
899, 329, 17341, 7816, 3817, 25
798, 1223, 14872, 6427, 3319, 26
1783, 384, 17533, 7222, 3492, 27
2024, 457, 15950, 6817, 3384, 28
2034, 268, 15181, 6646, 3266, 29
1115, 351, 16734, 7196, 3483, 30
1447, 269, 16591, 7340, 4091, 31
2235, 694, 15054, 6416, 3433, 32
2247, 350, 15166, 6464, 3197, 33
1933, 1258, 15370, 6617, 3194, 34
1890, 329, 16353, 6806, 3315, 35
2057, 716, 15964, 6917, 3327, 36
2237, 310, 15221, 6355, 3040, 37
1620, 269, 16400, 6829, 3397, 38
2005, 328, 15988, 7968, 24096, 39
1884, 480, 16446, 6641, 3191, 40
969, 381, 17588, 7475, 3657, 41
797, 462, 17356, 8034, 4025, 42
1737, 270, 16965, 6783, 3450, 43
1774, 346, 17381, 7292, 3609, 44
1230, 311, 16952, 7331, 3574, 45
869, 269, 17648, 8546, 4284, 46
800, 347, 17797, 8343, 4014, 47
1825, 276, 16586, 8262, 26010, 48
2191, 328, 15473, 6690, 3231, 49
1716, 479, 16856, 7030, 3464, 50
1966, 311, 16012, 6710, 3333, 51
1649, 275, 16857, 7197, 3570, 52
764, 329, 17825, 7968, 3999, 53
461, 717, 19229, 8527, 4267, 54
1953, 380, 16176, 6902, 3344, 55
1259, 463, 18137, 7678, 3664, 56
1699, 269, 16732, 7035, 3549, 57
1936, 347, 16070, 6657, 3355, 58
2071, 311, 15611, 6431, 3148, 59
1084, 418, 18532, 9037, 28346, 60
1251, 320, 17100, 7442, 3695, 61
1727, 275, 16887, 6951, 3394, 62
864, 348, 18243, 9296, 28887, 63
860, 746, 17758, 7787, 3871, 64
1816, 270, 16506, 7064, 3553, 65
1716, 325, 16620, 7120, 3549, 66
702, 307, 17830, 7628, 3864, 67
2160, 734, 15256, 6668, 3233, 68
1813, 325, 17099, 7195, 3457, 69
1630, 296, 17119, 7101, 3536, 70
1486, 270, 16498, 7069, 3581, 71
1716, 501, 17163, 6981, 3642, 72
1290, 478, 18000, 7595, 3684, 73
2090, 269, 16097, 6625, 3368, 74
1782, 695, 18142, 7419, 3506, 75
885, 369, 17967, 9327, 28524, 76
991, 436, 17520, 7226, 3863, 77
1214, 344, 16981, 6997, 3450, 78
2219, 377, 15089, 6558, 3263, 79
1418, 308, 16007, 6935, 3398, 80
1639, 368, 17349, 7112, 3708, 81
1348, 272, 16597, 7122, 3538, 82
1379, 320, 16706, 6952, 3484, 83
939, 479, 17191, 7645, 3638, 84
1375, 436, 17526, 7453, 3755, 85
2042, 511, 15951, 6811, 3362, 86
1950, 434, 16204, 6913, 3392, 87
1746, 298, 17480, 7383, 3530, 88
1522, 458, 16970, 7166, 3429, 89
1639, 269, 15912, 6620, 3365, 90
873, 368, 17862, 7792, 3921, 91
2256, 344, 15620, 6568, 3155, 92
1697, 501, 17271, 7341, 3600, 93
1630, 308, 16933, 7099, 3495, 94
701, 675, 17291, 7956, 3916, 95
1054, 378, 17860, 7399, 3621, 96
850, 271, 17637, 8823, 4167, 97
1476, 320, 16606, 7110, 3506, 98
1389, 369, 16819, 7192, 3678, 99
691, 459, 18652, 8159, 4202, 100
1562, 270, 16482, 6724, 3442, 101
2171, 674, 16019, 6742, 3332, 102
2089, 344, 15615, 6715, 3452, 103
1891, 307, 16048, 6608, 3170, 104
1916, 368, 16324, 6835, 3377, 105
759, 272, 17121, 7475, 4250, 106
468, 696, 18597, 7897, 3837, 107
1677, 368, 16874, 7138, 3466, 108
1341, 344, 16574, 7064, 3467, 109
1873, 273, 16619, 6632, 3285, 110
1843, 321, 16974, 7045, 3494, 111
476, 675, 17596, 7545, 3732, 112
2206, 718, 15816, 6709, 3309, 113
1940, 272, 16074, 6715, 3267, 114
2145, 322, 15427, 6487, 3189, 115
1193, 483, 17212, 7163, 3721, 116
645, 1201, 17005, 7194, 3482, 117
1835, 271, 16716, 7079, 3487, 118
895, 436, 17854, 7628, 3816, 119
1870, 350, 17366, 6822, 3460, 120
