x-coordinate_in_pixel, y-coordinate_in_pixel, Chan1_FluoValue, Chan2_FluoValue, Chan3_FluoValue, index
432, 712, 17574, 7575, 3681, 151
1689, 782, 16698, 6973, 3307, 152
908, 375, 17926, 7452, 3778, 153
795, 427, 18070, 7737, 3770, 154
2223, 286, 16190, 6706, 3377, 155
1562, 1199, 15557, 6646, 3226, 156
844, 340, 17002, 7121, 3420, 157
1803, 427, 17825, 7392, 3535, 158
2242, 287, 16112, 6787, 3419, 159
1748, 406, 16848, 6683, 3351, 160
1444, 379, 17009, 7238, 3420, 161
1990, 379, 17107, 7027, 3423, 162
1014, 344, 18154, 7652, 3718, 163
1934, 387, 17070, 7153, 3373, 164
713, 533, 17885, 7828, 3679, 165
1587, 443, 17183, 7190, 3579, 166
1845, 508, 18107, 7686, 3727, 167
1292, 344, 17266, 7156, 3449, 168
864, 492, 18185, 7345, 3600, 169
2201, 289, 16341, 6753, 3273, 170
802, 413, 16137, 7029, 3414, 171
478, 774, 15305, 6105, 2931, 172
2107, 343, 17373, 7154, 3383, 173
314, 734, 16980, 7136, 3528, 174
1599, 412, 17670, 7123, 3519, 175
1311, 432, 17115, 7416, 3534, 176
2168, 344, 16163, 6782, 3279, 177
850, 391, 17893, 7458, 3615, 178
499, 532, 15321, 6827, 3258, 179
2213, 292, 16353, 6851, 3414, 180
1720, 558, 17925, 7793, 3736, 181
2232, 292, 16143, 6866, 3264, 182
1731, 344, 17266, 7005, 3492, 183
1945, 493, 17859, 7329, 3511, 184
918, 390, 17512, 7414, 3746, 185
2217, 1221, 15484, 6729, 3281, 186
2251, 292, 16221, 6992, 3308, 187
2179, 295, 16419, 6750, 3236, 188
1014, 444, 28246, 7705, 3628, 189
1254, 345, 17824, 7377, 3587, 190
527, 548, 15596, 6540, 3168, 191
2191, 295, 16444, 6756, 3298, 192
767, 412, 14581, 6700, 3347, 193
565, 717, 17948, 7007, 3496, 194
1973, 343, 17055, 6871, 3366, 195
721, 733, 17468, 7210, 3554, 196
2167, 297, 16183, 7117, 3351, 197
1777, 412, 17261, 7037, 3471, 198
1626, 1256, 15548, 6639, 3239, 199
2223, 297, 23515, 6884, 3268, 200
