Assay1 Amplitude,Assay2 Amplitude,Cluster
717.96344,,1
838.8716,,1
843.531433,,1
845.674866,,1
851.9702,,1
859.742249,,1
862.5033,,1
867.91925,,1
872.0027,,1
872.7904,,1
874.8355,,1
878.2117,,1
880.7161,,1
881.0306,,1
883.335144,,1
883.7422,,1
889.931946,,1
890.3798,,1
893.2027,,1
893.7062,,1
893.526733,,1
893.8538,,1
893.904663,,1
893.3548,,1
894.216,,1
894.829,,1
896.6328,,1
896.3213,,1
898.394348,,1
898.4623,,1
898.059265,,1
898.872131,,1
899.8069,,1
899.323547,,1
900.5255,,1
901.4133,,1
901.7725,,1
901.9908,,1
902.543152,,1
902.7302,,1
903.492554,,1
903.284546,,1
904.2146,,1
904.7987,,1
905.370239,,1
905.9793,,1
905.843933,,1
906.6755,,1
906.656067,,1
906.1039,,1
906.662231,,1
907.11145,,1
907.500854,,1
907.032837,,1
908.595947,,1
908.9207,,1
910.0021,,1
910.4727,,1
911.3488,,1
912.033936,,1
912.6911,,1
912.9337,,1
912.8989,,1
912.2486,,1
913.8365,,1
913.549438,,1
914.519165,,1
916.2584,,1
916.65155,,1
916.039246,,1
916.636,,1
917.8232,,1
917.644165,,1
918.368164,,1
918.2266,,1
918.678833,,1
918.2766,,1
919.059448,,1
919.1009,,1
920.4619,,1
920.3618,,1
920.973755,,1
920.9886,,1
920.2936,,1
920.9087,,1
920.601563,,1
920.4831,,1
921.6899,,1
921.259155,,1
921.6791,,1
921.1839,,1
921.1556,,1
921.6734,,1
921.2902,,1
922.446045,,1
922.2689,,1
922.1227,,1
922.5682,,1
922.509644,,1
922.2682,,1
923.8508,,1
923.939758,,1
923.5853,,1
923.636536,,1
923.230164,,1
923.68,,1
923.3579,,1
923.3852,,1
923.6039,,1
923.5263,,1
923.9495,,1
924.3821,,1
924.1153,,1
924.993164,,1
924.852661,,1
925.9065,,1
925.5457,,1
925.3878,,1
925.03064,,1
925.226563,,1
925.6344,,1
926.120056,,1
926.0278,,1
927.083862,,1
927.1525,,1
927.7402,,1
928.5655,,1
928.398254,,1
928.58844,,1
928.2674,,1
928.616333,,1
928.846,,1
928.3129,,1
928.3988,,1
928.341553,,1
929.5167,,1
929.596863,,1
929.425537,,1
929.540344,,1
930.1808,,1
930.875061,,1
930.6673,,1
930.2432,,1
930.221,,1
930.689941,,1
930.839233,,1
930.793762,,1
930.720154,,1
931.8822,,1
931.8374,,1
931.654968,,1
931.007446,,1
931.8056,,1
931.9407,,1
931.9339,,1
931.0691,,1
932.2635,,1
932.777039,,1
932.3702,,1
932.3487,,1
932.2934,,1
932.652,,1
932.8612,,1
933.429749,,1
933.2694,,1
933.1957,,1
933.7647,,1
933.837341,,1
934.3589,,1
934.2457,,1
934.668762,,1
934.917847,,1
934.677368,,1
934.1196,,1
934.101746,,1
934.820435,,1
935.847046,,1
935.49115,,1
935.461365,,1
935.6563,,1
935.954163,,1
935.2011,,1
935.41156,,1
936.6331,,1
936.8669,,1
936.1238,,1
936.177368,,1
936.189,,1
936.691,,1
936.2441,,1
936.6518,,1
936.004456,,1
937.9156,,1
937.454163,,1
937.3021,,1
937.3768,,1
937.995056,,1
937.1544,,1
937.2336,,1
937.419,,1
937.34906,,1
937.7006,,1
938.930969,,1
938.096069,,1
938.5447,,1
938.168762,,1
938.112854,,1
938.147,,1
938.199951,,1
938.644,,1
938.933,,1
938.484863,,1
938.4322,,1
938.5253,,1
938.3251,,1
938.722168,,1
938.5891,,1
939.2663,,1
939.171448,,1
939.1275,,1
939.6338,,1
939.9523,,1
939.150146,,1
939.158569,,1
939.316833,,1
940.5438,,1
940.3972,,1
940.825745,,1
940.6352,,1
940.101563,,1
940.8866,,1
940.853149,,1
940.807251,,1
940.233948,,1
940.459167,,1
940.374756,,1
940.443237,,1
940.5996,,1
940.5546,,1
941.9837,,1
941.563049,,1
941.176331,,1
941.481262,,1
941.113037,,1
941.5995,,1
941.305054,,1
941.222046,,1
941.222351,,1
941.2268,,1
941.0609,,1
941.1432,,1
941.436951,,1
941.187744,,1
941.101563,,1
941.851868,,1
941.0136,,1
941.128052,,1
942.6776,,1
942.7683,,1
942.9499,,1
942.6866,,1
942.4014,,1
942.5248,,1
942.4312,,1
942.3743,,1
942.5026,,1
943.6271,,1
943.9765,,1
943.1529,,1
943.9878,,1
943.4342,,1
943.175537,,1
943.1777,,1
943.462036,,1
943.705261,,1
943.4511,,1
943.5814,,1
943.222046,,1
943.109436,,1
943.641846,,1
944.6302,,1
944.0892,,1
944.0257,,1
944.375244,,1
944.1949,,1
944.6272,,1
944.9775,,1
944.27655,,1
944.1825,,1
944.8083,,1
944.4058,,1
944.8092,,1
944.4171,,1
944.261,,1
944.300354,,1
944.363464,,1
945.0067,,1
945.002441,,1
945.5889,,1
945.252747,,1
945.3608,,1
945.661743,,1
945.621155,,1
945.760864,,1
945.797058,,1
945.2173,,1
945.4658,,1
945.2531,,1
945.5739,,1
945.329468,,1
946.0232,,1
946.3153,,1
946.010132,,1
946.5288,,1
946.1603,,1
946.7844,,1
946.8759,,1
946.5686,,1
946.603943,,1
946.2844,,1
946.262634,,1
946.9238,,1
946.729,,1
947.0833,,1
947.586,,1
947.1007,,1
947.3123,,1
947.8759,,1
947.6624,,1
947.0623,,1
947.8508,,1
947.2015,,1
947.893555,,1
947.203735,,1
947.0323,,1
947.431,,1
947.0504,,1
947.827,,1
947.5606,,1
947.592041,,1
948.7503,,1
948.37085,,1
948.30835,,1
948.9241,,1
948.1862,,1
948.3025,,1
948.759033,,1
948.4771,,1
948.1866,,1
948.7912,,1
948.8765,,1
948.4709,,1
948.8662,,1
949.4198,,1
949.3773,,1
949.741,,1
949.738953,,1
949.228943,,1
949.2003,,1
949.507751,,1
949.3944,,1
949.545,,1
949.1859,,1
949.7904,,1
949.9786,,1
949.720459,,1
949.24646,,1
949.314453,,1
949.9554,,1
949.6991,,1
949.712769,,1
949.7717,,1
949.224243,,1
950.810852,,1
950.87616,,1
950.277832,,1
950.924133,,1
950.4355,,1
950.4464,,1
950.1761,,1
950.139,,1
950.783,,1
950.6816,,1
950.9058,,1
950.6667,,1
950.67395,,1
950.610046,,1
950.9779,,1
950.2903,,1
950.1437,,1
950.700867,,1
950.6428,,1
950.9441,,1
951.0228,,1
951.582642,,1
951.5665,,1
951.4422,,1
951.0331,,1
951.051636,,1
951.6683,,1
951.3256,,1
951.107849,,1
951.072144,,1
951.188965,,1
952.4253,,1
