Assay1 Amplitude,Assay2 Amplitude,Cluster
785.662048,,1
845.4057,,1
859.690063,,1
861.06604,,1
862.9332,,1
870.7109,,1
873.2749,,1
874.4979,,1
876.6642,,1
878.432556,,1
879.9442,,1
884.817932,,1
884.2695,,1
886.744568,,1
888.037231,,1
889.6512,,1
889.4079,,1
889.84314,,1
890.9774,,1
890.4488,,1
890.585266,,1
891.9348,,1
892.879,,1
893.373657,,1
893.93396,,1
894.6009,,1
895.2097,,1
895.703064,,1
895.2535,,1
895.0717,,1
895.1001,,1
897.2162,,1
898.562561,,1
898.9745,,1
898.393066,,1
898.4151,,1
899.924133,,1
899.452637,,1
899.0363,,1
899.3027,,1
899.587158,,1
900.579,,1
900.5584,,1
901.9384,,1
901.9143,,1
902.9063,,1
903.406,,1
903.1936,,1
904.5434,,1
904.1668,,1
904.8477,,1
904.0279,,1
904.0338,,1
904.138,,1
904.8878,,1
905.2644,,1
905.4324,,1
905.9407,,1
905.921143,,1
905.852966,,1
906.358154,,1
907.9116,,1
908.8289,,1
908.2625,,1
908.067139,,1
908.931335,,1
908.6302,,1
908.557861,,1
909.8476,,1
909.507446,,1
909.753235,,1
909.780151,,1
909.8081,,1
910.3023,,1
910.3786,,1
910.687439,,1
911.9729,,1
911.603455,,1
911.6867,,1
912.5761,,1
912.3287,,1
913.363464,,1
913.7453,,1
913.97,,1
913.241455,,1
913.675,,1
914.754,,1
914.402161,,1
915.085938,,1
915.499756,,1
915.3492,,1
915.7288,,1
916.1555,,1
916.053162,,1
916.1114,,1
916.698242,,1
916.723267,,1
916.0947,,1
916.830139,,1
916.044556,,1
916.874756,,1
917.3842,,1
917.0635,,1
917.731445,,1
917.382751,,1
917.1213,,1
917.1153,,1
917.122864,,1
918.409851,,1
918.167,,1
918.2979,,1
918.813538,,1
918.498169,,1
918.467834,,1
918.361755,,1
919.7681,,1
919.342,,1
919.03186,,1
919.324768,,1
919.123352,,1
919.4983,,1
919.449951,,1
919.472839,,1
919.6608,,1
