Assay1 Amplitude,Assay2 Amplitude,Cluster
613.674561,,1
631.204163,,1
656.219238,,1
675.2841,,1
767.5273,,1
809.521,,1
819.3804,,1
826.1153,,1
857.5732,,1
881.3115,,1
899.1767,,1
902.2163,,1
909.463562,,1
911.970764,,1
919.8507,,1
921.0405,,1
925.911,,1
938.9528,,1
941.3576,,1
941.4618,,1
943.0416,,1
947.0542,,1
950.9726,,1
950.8296,,1
952.161438,,1
952.039,,1
953.293,,1
954.1358,,1
955.792358,,1
956.4575,,1
956.588745,,1
957.066467,,1
957.0115,,1
957.0459,,1
958.905334,,1
958.225342,,1
959.4099,,1
962.023438,,1
965.4833,,1
965.4281,,1
965.493652,,1
966.0879,,1
966.18,,1
966.901062,,1
966.6179,,1
967.9518,,1
967.9291,,1
968.5226,,1
968.0349,,1
968.967163,,1
968.64624,,1
969.57,,1
969.4978,,1
970.6516,,1
970.33844,,1
970.841858,,1
971.0286,,1
971.761353,,1
971.7676,,1
972.5296,,1
972.8791,,1
972.496643,,1
973.3415,,1
973.294556,,1
973.916443,,1
973.5872,,1
974.2012,,1
974.213257,,1
975.864441,,1
975.359,,1
976.803162,,1
976.9881,,1
977.006,,1
977.6665,,1
978.5745,,1
978.6267,,1
978.4086,,1
979.7114,,1
979.533,,1
979.4931,,1
981.8505,,1
982.6272,,1
982.5806,,1
982.3202,,1
982.4386,,1
982.6317,,1
982.9007,,1
983.4956,,1
983.6606,,1
983.7563,,1
984.655,,1
984.662659,,1
985.9482,,1
985.103333,,1
985.0697,,1
985.6026,,1
985.6303,,1
985.9065,,1
985.8957,,1
985.086731,,1
986.353455,,1
986.3886,,1
986.24,,1
986.8053,,1
986.9406,,1
986.6124,,1
986.086853,,1
986.697144,,1
987.5248,,1
987.3972,,1
987.1453,,1
987.2332,,1
987.9674,,1
987.156,,1
988.9815,,1
988.418152,,1
988.1609,,1
989.410034,,1
989.5354,,1
989.8933,,1
989.874,,1
989.816345,,1
989.0159,,1
989.46,,1
989.0749,,1
990.8078,,1
990.9045,,1
991.862061,,1
991.262634,,1
992.943665,,1
992.4499,,1
992.4848,,1
992.7266,,1
992.707642,,1
993.438049,,1
993.546265,,1
993.1815,,1
993.5427,,1
993.712646,,1
993.9176,,1
994.308,,1
994.6065,,1
994.5125,,1
994.7408,,1
994.9974,,1
994.2971,,1
994.6053,,1
994.582764,,1
994.39856,,1
995.323547,,1
995.375,,1
995.398865,,1
995.7345,,1
995.2363,,1
996.4572,,1
996.1439,,1
996.958862,,1
996.0024,,1
996.581848,,1
996.8538,,1
996.32,,1
997.5036,,1
997.8656,,1
997.803162,,1
997.8021,,1
997.517639,,1
997.4478,,1
997.2515,,1
997.2821,,1
997.046143,,1
998.6263,,1
998.1599,,1
998.5033,,1
998.1065,,1
998.1449,,1
998.9643,,1
998.9121,,1
999.6716,,1
999.520264,,1
999.4124,,1
999.43396,,1
999.3462,,1
999.0571,,1
999.6836,,1
999.9416,,1
999.735352,,1
999.8508,,1
1000.31232,,1
1000.88861,,1
1000.69012,,1
1000.24506,,1
1000.87744,,1
1000.94696,,1
1000.7951,,1
1000.92249,,1
1000.5733,,1
1000.51666,,1
1001.02142,,1
1001.0769,,1
1001.38416,,1
1001.20154,,1
1001.19489,,1
1001.093,,1
1001.90247,,1
1001.84009,,1
1001.38947,,1
1001.50745,,1
1002.27765,,1
1002.34338,,1
1002.06177,,1
1002.23047,,1
1002.2265,,1
1002.45563,,1
1002.24335,,1
1003.27216,,1
1003.84149,,1
1003.7345,,1
1003.27869,,1
1003.09235,,1
1003.58,,1
1003.931,,1
1003.16937,,1
1003.81885,,1
1003.42645,,1
1004.43835,,1
1004.39264,,1
1004.30597,,1
1004.01074,,1
1004.02252,,1
1004.69653,,1
1004.1582,,1
1004.53632,,1
1004.09766,,1
1005.82135,,1
1005.83557,,1
1005.32379,,1
1005.37689,,1
1005.39185,,1
1005.968,,1
1005.56287,,1
1005.38068,,1
1005.51453,,1
1005.49261,,1
1005.7403,,1
1005.93848,,1
1006.36456,,1
1006.03363,,1
1006.44183,,1
1006.4364,,1
1006.92755,,1
1006.11688,,1
1006.6803,,1
1006.76233,,1
1006.9494,,1
1006.76691,,1
1006.16278,,1
1006.01855,,1
1006.94006,,1
1006.02911,,1
1007.84906,,1
1007.61987,,1
1007.043,,1
1007.91888,,1
1007.85529,,1
1007.84625,,1
1007.63959,,1
1007.76178,,1
1007.13367,,1
1008.5318,,1
1008.09277,,1
1008.11432,,1
1008.3902,,1
1008.72919,,1
1008.58881,,1
1008.15387,,1
1008.02405,,1
1008.35046,,1
1008.14655,,1
1008.93756,,1
1008.04486,,1
1008.09753,,1
1008.00238,,1
1008.25348,,1
1008.6911,,1
1008.71216,,1
1008.58209,,1
1008.02148,,1
1008.2868,,1
1008.36591,,1
1009.52252,,1
1009.7887,,1
1009.63965,,1
1009.9743,,1
1009.70691,,1
1009.51483,,1
1009.78638,,1
1009.1593,,1
1009.979,,1
1009.28827,,1
1010.557,,1
1010.58929,,1
1010.50269,,1
1010.77582,,1
1010.13904,,1
1010.55835,,1
1010.54211,,1
1010.09924,,1
1010.39087,,1
1010.99304,,1
1010.42792,,1
1010.39508,,1
1010.5885,,1
1010.39545,,1
1010.10608,,1
1011.81927,,1
1011.69824,,1
1011.83771,,1
1011.03754,,1
1011.0014,,1
1011.27,,1
1011.06946,,1
1011.877,,1
1011.1344,,1
1011.94507,,1
1011.01123,,1
1011.544,,1
1011.77661,,1
1011.6875,,1
1011.33624,,1
1011.60425,,1
1011.5672,,1
1011.45374,,1
1012.70367,,1
1012.2113,,1
1012.73688,,1
1012.92432,,1
1012.58527,,1
1012.17529,,1
1012.67554,,1
1012.90485,,1
1012.86859,,1
1013.65369,,1
1013.93231,,1
1013.21619,,1
1013.63287,,1
1013.64886,,1
1013.50323,,1
1013.5722,,1
1013.05438,,1
1013.75366,,1
1013.77515,,1
1013.87561,,1
1013.185,,1
1013.82849,,1
1013.7774,,1
1014.59058,,1
1014.5531,,1
1014.05157,,1
1014.63245,,1
1014.40369,,1
1014.18347,,1
1014.94873,,1
1014.1701,,1
1014.68665,,1
1014.68671,,1
1014.937,,1
1014.4538,,1
1015.71973,,1
1015.103,,1
1015.32855,,1
1015.47461,,1
1015.57843,,1
1016.93323,,1
1016.1449,,1
1016.2016,,1
1016.70856,,1
1016.3728,,1
1016.00275,,1
1016.74841,,1
1016.33429,,1
1016.63635,,1
1016.66479,,1
1016.83063,,1
1016.14252,,1
1016.79858,,1
1016.03961,,1
1016.86566,,1
1017.84235,,1
1017.06317,,1
1017.35809,,1
1017.055,,1
1017.96185,,1
1017.793,,1
1017.65747,,1
1017.30524,,1
1017.358,,1
1017.12787,,1
1017.46942,,1
1017.4079,,1
1017.70422,,1
1017.17303,,1
1017.79309,,1
1017.22235,,1
1017.70032,,1
1017.07318,,1
1018.49847,,1
1018.45282,,1
1018.46741,,1
1018.06482,,1
1018.25726,,1
1018.99982,,1
1018.90125,,1
1018.25024,,1
1018.13788,,1
1018.80664,,1
1018.29742,,1
1018.58234,,1
1018.11639,,1
1018.481,,1
1018.815,,1
1018.87512,,1
1019.28455,,1
1019.93433,,1
1019.9635,,1
1019.67029,,1
1019.78479,,1
1019.15906,,1
1019.87927,,1
1019.84583,,1
1019.34454,,1
1019.54041,,1
1019.364,,1
1019.80139,,1
1019.56915,,1
1019.97729,,1
1019.11908,,1
1019.53735,,1
1019.83325,,1
1019.16919,,1
1019.34076,,1
1019.83441,,1
1020.63037,,1
1020.42725,,1
1020.31488,,1
1020.65009,,1
1020.49487,,1
1020.355,,1
1020.21057,,1
1020.98273,,1
1020.89929,,1
1020.89771,,1
1020.25476,,1
1020.0022,,1
1020.48511,,1
1021.25604,,1
1021.78888,,1
1021.99316,,1
1021.82935,,1
1021.94727,,1
1021.41351,,1
1021.16986,,1
1021.39526,,1
1021.96912,,1
1021.64069,,1
1021.08783,,1
1021.3797,,1
1021.14392,,1
1021.62714,,1
1021.8894,,1
1021.28076,,1
1021.27216,,1
1021.74719,,1
1022.13251,,1
1022.242,,1
1022.447,,1
1022.591,,1
1022.7431,,1
1022.88446,,1
1022.26465,,1
1022.38782,,1
1022.085,,1
1022.13324,,1
1022.91681,,1
1022.72681,,1
1022.285,,1
1022.27844,,1
1022.39307,,1
1022.87787,,1
1022.91364,,1
1022.86005,,1
1023.55627,,1
1023.28381,,1
1023.64075,,1
1023.42493,,1
1023.56042,,1
1023.45514,,1
1023.01196,,1
1023.994,,1
1023.65509,,1
1023.34662,,1
1023.57953,,1
1023.42786,,1
1023.56335,,1
1023.36987,,1
1023.54767,,1
1023.80841,,1
1023.90625,,1
1024.03662,,1
1024.59875,,1
1024.08679,,1
1024.469,,1
1024.4425,,1
1024.53113,,1
1024.82129,,1
1024.49146,,1
1024.07837,,1
1024.45215,,1
1024.84387,,1
1024.09692,,1
1024.78638,,1
1024.9071,,1
1024.2074,,1
1024.98218,,1
1024.96545,,1
1024.39087,,1
1024.75452,,1
1024.89343,,1
1024.28113,,1
1025.47729,,1
1025.77661,,1
1025.4939,,1
1025.21313,,1
1025.37256,,1
1025.46924,,1
1025.41016,,1
1025.9967,,1
1025.71436,,1
1025.29553,,1
1025.64185,,1
1025.8175,,1
1025.33264,,1
1025.33777,,1
1025.71436,,1
1025.23315,,1
1025.52466,,1
1025.99,,1
1025.35754,,1
1025.63574,,1
1025.0166,,1
1025.69031,,1
1025.18738,,1
1026.32654,,1
1026.60962,,1
1026.51453,,1
1026.22925,,1
1026.6073,,1
1026.95532,,1
1026.48657,,1
1026.48853,,1
1026.51465,,1
1026.06445,,1
1026.14746,,1
1026.28723,,1
1026.73682,,1
1026.46472,,1
1026.49683,,1
1026.09424,,1
1027.86548,,1
1027.38452,,1
1027.39758,,1
1027.974,,1
1027.35242,,1
1027.88953,,1
1027.64368,,1
1027.53369,,1
1027.36975,,1
1027.93726,,1
1027.45422,,1
1027.7699,,1
1027.5675,,1
1027.26953,,1
1027.54053,,1
1027.17468,,1
1027.78662,,1
1027.30054,,1
1027.30591,,1
1027.76184,,1
1028.34253,,1
1028.8606,,1
1028.89185,,1
1028.74243,,1
1028.95166,,1
1028.67139,,1
1028.56555,,1
1028.67761,,1
1028.38855,,1
1028.97644,,1
1028.91663,,1
1028.73083,,1
1028.4176,,1
1028.854,,1
1028.60254,,1
1028.6532,,1
1028.06812,,1
1028.47937,,1
1028.66455,,1
1028.097,,1
1028.58948,,1
1028.58826,,1
1028.75061,,1
1028.30042,,1
1028.784,,1
1029.75635,,1
1029.09949,,1
