Ch1 Amplitude,Ch2 Amplitude,Cluster
32.2546234,10622.23,4
32.55316,10081.1064,4
37.4165268,10363.01,4
39.6537971,10140.1982,4
40.31481,10319.56,4
42.58688,9864.532,4
43.09649,9380.848,4
45.30891,10337.9727,4
52.7625465,10142.7861,4
53.1879425,10454.9014,4
53.5621147,10119.8018,4
58.03056,10472.083,4
59.71607,10313.874,4
60.77135,10062.4717,4
62.9700661,10313.0508,4
65.00377,10223.709,4
66.51443,9864.151,4
69.70399,10226.1934,4
71.6352844,10290.7412,4
71.83995,10186.3486,4
71.8430557,10425.9541,4
71.96522,9895.698,4
76.60375,10406.1455,4
76.94246,9961.062,4
78.1097641,10376.3506,4
78.18146,10266.3008,4
78.90637,10130.5811,4
80.01217,10009.6094,4
80.04121,10467.6484,4
80.2033844,10047.08,4
80.29753,10016.875,4
80.3659,8706.007,4
80.4465561,1346.56689,1
80.47884,10180.4121,4
80.67302,10163.957,4
81.0013046,9920.513,4
81.68038,10192.3584,4
81.7697754,10245.3,4
81.87313,10588.9395,4
82.2521744,9941.988,4
83.05771,10023.2217,4
83.1191,10147.4756,4
83.14021,10248.9121,4
83.81431,10370.3438,4
83.92961,10100.4639,4
83.975975,10421.1582,4
84.55376,10239.3193,4
84.9746552,10321.4473,4
84.98896,10138.9082,4
85.60445,9118.139,4
85.7952,10291.915,4
85.92497,10049.7021,4
86.10708,10449.9844,4
86.66399,10107.7148,4
87.21294,10302.5059,4
87.36707,10278.7891,4
88.22754,10120.5146,4
88.58024,10214.02,4
88.72622,9986.246,4
89.28474,10400.3291,4
89.5366,10243.3906,4
89.95854,10480.627,4
90.84901,10038.98,4
92.4427948,10347.8584,4
92.77402,9994.588,4
92.98776,8480.665,4
93.9695053,10251.2539,4
95.41036,10189.1035,4
95.43096,10055.95,4
95.9255,10176.18,4
95.95325,9621.815,4
96.7599258,10277.2,4
97.53872,10402.5254,4
97.70272,1190.1377,1
97.70636,9921.177,4
97.7074,1328.40552,1
97.7535,10189.1221,4
98.012886,9723.211,4
98.8672256,9937.383,4
99.2374,10053.3525,4
100.086143,10216.7451,4
100.145645,10106.6582,4
100.430832,9270.62,4
100.55864,1323.52087,1
100.739906,1322.24365,1
100.991806,10057.6143,4
101.185371,10005.1689,4
101.428192,1314.785,1
101.581993,10250.7959,4
101.60421,9748.209,4
101.947456,10391.0859,4
102.343147,9846.865,4
102.487946,9866.197,4
102.54644,10095.3779,4
102.559891,1288.41992,1
103.309547,10116.8145,4
103.321014,1298.94226,1
103.477119,1263.29492,1
103.825058,1289.33484,1
103.8959,10270.417,4
103.951851,10263.8691,4
104.082558,1273.52087,1
104.131882,9924.626,4
104.394829,1226.47131,1
104.429131,1294.66467,1
104.4995,1223.78516,1
104.628708,1248.373,1
104.659981,1255.94751,1
104.7301,1281.21277,1
104.772636,8105.78125,4
104.854179,1299.1925,1
104.883675,1284.20911,1
104.922852,1288.40955,1
104.973946,1294.1637,1
105.068832,1275.58069,1
105.13179,10267.5439,4
105.147583,1309.73035,1
105.400604,10630.8008,4
105.450729,10124.9785,4
105.594261,1294.36768,1
105.723457,1301.69421,1
105.728767,10254.36,4
105.891289,1261.18835,1
106.1048,1266.51355,1
106.13224,1234.55188,1
106.403755,10160.6318,4
106.4656,1309.62244,1
106.469238,9941.422,4
106.823364,8758.845,4
107.056137,1318.19287,1
107.114174,1293.17261,1
107.164474,1219.91211,1
107.182014,1316.80664,1
107.203659,1238.28125,1
107.400032,1223.39221,1
107.491974,1300.37122,1
107.758568,1284.79822,1
107.809547,10476.1523,4
107.973526,1255.468,1
108.258659,1354.172,1
108.266167,1224.27429,1
108.72361,1247.25586,1
108.749138,1311.737,1
108.861618,10158.52,4
108.894676,1361.94727,1
108.93856,1277.95776,1
108.98748,1231.40344,1
109.462769,10040.5977,4
109.471085,9234.838,4
109.505165,1323.34937,1
109.5623,1225.99377,1
109.566971,1317.23792,1
109.567574,1287.796,1
109.675514,1277.05273,1
109.750084,1298.06567,1
109.786118,1296.05286,1
110.0362,1271.70349,1
110.0419,1350.65479,1
110.100655,1286.43018,1
110.127106,1303.81726,1
110.147018,1357.76013,1
110.171417,1250.34692,1
110.220764,1322.46033,1
110.259033,9760.889,4
110.278946,1300.6637,1
110.477211,10155.1367,4
110.585945,10535.7314,4
110.663086,1260.03821,1
110.796646,1299.53223,1
110.879868,1270.37939,1
110.889359,1322.26538,1
110.891747,1277.88147,1
111.005287,1246.36633,1
111.071739,1234.10645,1
111.2526,1239.90857,1
111.281357,1199.02991,1
111.3057,1317.51807,1
111.347481,1207.90918,1
111.379616,1260.7,1
111.484016,1265.2677,1
111.484535,9925.499,4
111.498268,1318.303,1
111.506783,1232.83533,1
111.61203,1245.14526,1
111.613365,10260.6738,4
111.64122,1295.29126,1
111.678284,1226.962,1
111.688293,1267.72009,1
111.821007,1319.12537,1
111.826408,1260.67944,1
111.862473,1262.877,1
